Titulo,Precio,Año,Kilometraje,Ubicacion,Vendedor,Link,Imagen,Combustible,Transmision,Color,Puertas,Descripcion
Pulidora 4 -1/2 650w 12000rpm Black + Decker G650-b3 110,170.850,,,,,https://www.mercadolibre.com.co/pulidora-4-12-650w-12000rpm-black-decker-g650-b3-110/p/MCO25676259#polycard_client=search-nordic&search_layout=grid&position=1&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO2182108542&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_924314-MLA84554047560_052025-E.webp,,,,,"MINIPULIDORA 4 -1/2 650W 12000RPM BLACK AND DECKERCARACTERISTICAS- Minipulidora de Disco de 4.1/2"" (114mm) con motor de 650W.- Velocidad en vacío de 12.000RPM.- Eje de 5/8""- Mango lateral de dos posiciones.- Seguro de eje para cambiar los accesorios de manera sencilla.- Mando de goma para un mejor control y comodidad.- Traba de eje.- Interruptor de sellado contra polvo con bloqueo para uso continuo.- Guarda ajustable sin llave.- Caja de engranajes metálicaEspecificaciones del producto-Potencia 650W-Velocidad 12000/min (rpm)-Eje 5/8""-Cable 2 mCARACTERÍSTICAS PRINCIPALES:-Potencia 650W-Velocidad 12000/min (rpm)-Eje 5/8"" - 11/M14-Cable 2 m-Mando de goma para un mejor control y comodidad.-Traba de eje.-Interruptor de sellado contra polvo con bloqueo para uso continuo.-Guarda ajustable sin llave.Peso del paquete: 1.0 kgModelo: G650-B3Color: Naranja con detalles en NegroEAN: 8591152818ASIN: B07CGRPZNJGTIN: 8591152818Requiere baterías: NoSKU: G650-B3"
Pulidora Rotatoria Total 900W Modelo UTG109125565,206.900,,,,Por Belltec,https://www.mercadolibre.com.co/pulidora-rotatoria-total-900w-modelo-utg109125565/p/MCO24691192#polycard_client=search-nordic&search_layout=grid&position=2&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO2414743882&sid=search,,,,,,"Con tu pulidora Total podrás pulir salientes o bordes, así como soltar remaches, redondear ángulos, cortar metales, etc. Una herramienta clave para las terminaciones de tus proyectos."
Pulidora 4-1/2 Industrial Total 1100w Utg110125563 Color Turquesa,176.370,,,,,https://www.mercadolibre.com.co/pulidora-4-12-industrial-total-1100w-utg110125563-color-turquesa/p/MCO41659648#polycard_client=search-nordic&search_layout=grid&position=3&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO2858727330&sid=search,,,,,,"La Pulidora 4-1/2 Industrial Total UTG110125563 es la herramienta ideal para profesionales y aficionados del bricolaje que buscan un acabado perfecto en sus proyectos. Con una potencia de 1100 W y una velocidad máxima de pulido de 12000 rpm, esta pulidora eléctrica de mano garantiza resultados rápidos y eficientes en una variedad de superficies.Diseñada para ofrecer un manejo cómodo y preciso, su diseño ergonómico permite un uso prolongado sin fatiga. La versatilidad de esta pulidora la convierte en una opción perfecta para trabajos de pulido, lijado y acabado en metal, madera y plástico, adaptándose a las necesidades de cada usuario.La calidad de la marca Total se refleja en la durabilidad y rendimiento de este modelo, asegurando que cada tarea se realice con la máxima eficacia. Ya sea que estés trabajando en un proyecto de renovación en casa o en un entorno industrial, la Pulidora UTG110125563 es una herramienta que no puede faltar en tu equipo."
Pulidora De 7 2200w Stanley Sl227-b3,388.100,,,,Por Ferretería Luis Penagos,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=ZKuQ%2BT0mIaC94PlGwoEtnMIZkLBsR2Q0SDKbgVNG%2FacXbOQDhvDiMAZbBy11BrTfv%2BFVTOB0oKDSft7IjnpWz2pDrB4og7rY98T0%2B6c0o7f47x%2BamGhETwD7FgVHQqbVnhphiWk3%2Bl2bNcA%2FyZx7PnR4cP0F0V%2Fbok4RaMeYKrAhkA4TYYlhXBnORuQVnkVrlbYZE7%2FkNacTnFh%2FqC70xUdymYZNrE39VYps%2BTW8%2FxST%2Fwd7Ecc6xsg2ppwZ3JMBsYtfSO25xLmXyvhEIcaf2oJ1NyTZuuM8CVP7PozbfGAWO8ZD0UKePFrhf%2FJWl%2Bk0AJMsPgoFUhGnSNoN6ZuZNRPmayJOnjkBY4cFD5Sb0n8cMhk1U6Pu%2BsOMbfpNtz9Ye6T4D9fIbL%2BzEniEpNbf3ZAwdnT97MuqsBpU3TrSPognphPlZsP2orVn5eH4IqtgH0Hb8WEomogvsRxAMJ9tRrTakZWcjpCSrdCvnbyvwokdeWTq%2B5aBudIaCxokAgtbWgVLAXB00IIYiQAN902Po8aDvOn93q1IYxYLo5X4Rt8RO5n8nQebKJ7XDEH1he%2FZHPztGmY6eZ%2FltihvwuVst4%2B4KYJbMG5BmF32FZz%2BhupIHSG2sW%2F3VQDJxJR8%2F9K7Wn6rUbWz6D64R1YVYyNq1DLE7uzJDlCknGyMTBDU783d7xV0J2GeIkK7qcsicIhZ9nIoR8ePKeM9QTUAZtKuV2p%2B%2FmVbUzenv4jcVl6i356WH6LQbE3r69uS6JerXFO3gEwV3Xt9Vc5QS8nmjlgDrT6LN5C7dPeYl2UecQEX%2Byh2d0SEEP1Ngoqeq2Irw9dNnD8TCEjMM8ohslKXY5N%2Bl1gX9bJviunleXE3MK8zFYfAdgfsssPYSgU1ug2VmSnezm8plKknSoDRyF5lTCn2Yabg%2FOsLUMcY#polycard_client=search-nordic&is_advertising=true&searchVariation=MCO25754519&backend_model=search-backend&search_layout=grid&position=4&type=pad&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO2906354182&sid=search,,,,,,"Poderoso motor de 2200W para aplicaciones metal mecánicas exigentes.Switch de doble acción para prevenir encendido accidental.Caja de engranajes rotacional para aplicaciones en bordes y esquinas.Interruptor sellado contra polvo.Sistema de expulsión de polvo adecuado para cortes de ladrillos.Acceso rápido para reemplazar las escobillas.Bloqueo de eje para cambio rápido de disco.Sistema de liberación de disco exclusivo.Empuñadura antideslizante y mango auxiliar ergonómico para mayor seguridad.El engranaje en espiral reduce la vibración y el botón de bloqueo permite un trabajo continuo y seguro.Especificaciones técnicas:» Potencia: 2200 W» Velocidad sin carga de 8500 / min. Rpm» Diámetro de Disco: 7pulg (180mm).» Dimensiones: 24 x 12 x 23 cm» Peso: 4,2 Kg."
Pulidora 4-1/2 Industrial Total 1100w Utg110125563 Color Turquesa,176.370,,,,,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=pNI5MXYaNWz86t2ChjJRxbJkzRFfx8uLm7L%2BqmxckgJjkSQJNgtqMzf3VDEC53H3HcjqdUBKVpBenE00eM7jfnE1Gp9Y57mqLj7K1E9pecabAovcbkH37kbM6sC8tepFHsu9w3vi1CQtzV%2FMOM%2FLCBm2MTI0i%2ByLwv14yeJP7Qh7P9LHVNO74dqwkxLRy1QvuFexMOh3BDUBrfNguPbsHcOzWPiWIJe1a%2B0VdeFL6SEIuIDkv%2FNFk8zLwYhmc6vcj5gt632PB1hrcEJuiL%2BO1ew%2Bn0dqPjHTARClY%2F%2BYyG3Ng9Urck6d%2FQ0UKoTMQwvTwjKrHVD%2Fd0L7pXpZ60Lu6N%2FmCuyVVvCaGwZhM81OGX3QRjZtcr3DOPM7x3T4ALx1bVu9c7kz6z0MwDPc0ECBF5YPltc8vFBZUCz1L%2Bm9Uu533%2FuruIzMPK8cQqkmPwfT31fHGM6p%2Fs9dRh1bNjoSGPMv2vayl3tJdjcppXz8cGeqmm%2FDARa89spAKe7sG9XAIhr3wvkWuJRcnyPw0kgnobN5KlFLAzxkdm8DYfunlXkDGA7ib45IgO65tp%2BwWsctgMBGoQW74cnR0eYvY2H5QLMeORsRuLIT4n5%2Fn7hzLx%2B8J3Z9LSB5XAUAgKZUd%2FELdreMEKjjJqufZk9N4wL2Ln2c00twBzXlJZ3cFkTqDU29KP97879aS48MmRojNVUMrtsaS7Zt17755U2vsv6RmVzkrR4d%2FXsV064NwOMzWAizcDY%2FClzHGWBS2%2FVFauDTWh2ff2%2Bd31ax%2BoMd3B3BvwsKKBnWnePRU4IRqYgHacWa2I2CICvRJ%2BUyJ0e0uTMsLLm6aBpI5%2Bm%2B54s8Yb15M%2FI1B50PguRZaXyNpDad4dNEmQriHwbFIE0u8TgHyVP2SFHqsoYFiuKJngxjtDJecOWlaYvMaKY7N71LePlG7xgMQKmRAqoAudLtLxbPRaaNkFHqc%2FLg#polycard_client=search-nordic&is_advertising=true&searchVariation=MCO41659648&backend_model=search-backend&search_layout=grid&position=5&type=pad&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO2858727330&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_648317-MLA79814037915_102024-E.webp,,,,,"La Pulidora 4-1/2 Industrial Total UTG110125563 es la herramienta ideal para profesionales y aficionados del bricolaje que buscan un acabado perfecto en sus proyectos. Con una potencia de 1100 W y una velocidad máxima de pulido de 12000 rpm, esta pulidora eléctrica de mano garantiza resultados rápidos y eficientes en una variedad de superficies.Diseñada para ofrecer un manejo cómodo y preciso, su diseño ergonómico permite un uso prolongado sin fatiga. La versatilidad de esta pulidora la convierte en una opción perfecta para trabajos de pulido, lijado y acabado en metal, madera y plástico, adaptándose a las necesidades de cada usuario.La calidad de la marca Total se refleja en la durabilidad y rendimiento de este modelo, asegurando que cada tarea se realice con la máxima eficacia. Ya sea que estés trabajando en un proyecto de renovación en casa o en un entorno industrial, la Pulidora UTG110125563 es una herramienta que no puede faltar en tu equipo."
Pulidora Angular De 4 1/2 Bosch Gws 850 850w,390.310,,,,,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=d8OFcCBCwsiH1G5KgbpfS4gMw4Wq%2BwlhSVrajZ%2BOuKF7UDme9YVS9h%2BqXU3qimtGNHB8GOV7vZtujbctpY70dVcewogKviTLXt3sXrAwhKYUu%2B8KHL%2BAgVC5JAbBndIgS5j65CqUj9M9X97qMJkPl0G94Qbr46nJN7cYI0%2B88NYoXjZ68m5IO0asJKHv618Oc4HflXwleAEzBUV9cYTEm5s2N95I0Bq%2FzPThxhPNSdgStd9wa%2Bvns4seOVwR43vHWXWpp9gj8sq%2B9QH2miIAxHZpD0dswHrEj5qwG6FD7kEzFBACnuWLW1S99bMNbUjhaavssJvIW8XfqRS326C34IOAiC9Pw1%2BN2xIjJVtrMCNfr8XwbCgX5djonZoSwznxyhxNy2IxI8DrUFi2jQhRVr2nyL78JTG%2B%2FFtsvdzKQiKETAD6Lw3YfKmGStlEV1QwUybi8yn%2Favw00aEaghvMES0PCt5lJO%2B9vhefQaKm0%2BYUA%2Bp1EHgEKqCVKkiFz8GAvMmnO6Q7pNGCrv85RwYFZYKgufjtmTfynuzxhXzGlWjoiMTRhkPTlm6A60prjtZduyt2GXGtJe6QezJSPfhi1wOdmpVzoL1s766RQXLmtTKjSNq8E%2BwkJxmfwvO9EWP33NGBXH4w2biFB3o3BzLuaen1az8%2FzB%2BOM8%2FqKtaugKGsu%2F5KqnSbAfEJ4gK%2ByxTMDTYqS5AvEP0Y44C8XwHHTsitXX2bLFymPyG9op6bUwZaX%2BiYx0bfezlLRAlrS%2FlJ8IVmp9i92STeWO3nT%2FWHK9VZxNWMWkhAkhiTp6FLLEYbrPZQlD1xzysGJXq84fh8Q9FvQWADRGiq%2FYzY%2BhXA10ZzkxUgcozIEjcmoT3tfm%2FfZ4XM8RSw4Vg4np9Sm9%2BfeXAmH2c2LWaC0RsmLH%2FmxdSpcxYovW2Pwhko6Kvc#polycard_client=search-nordic&is_advertising=true&searchVariation=MCO25816357&backend_model=search-backend&search_layout=grid&position=6&type=pad&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO1568351245&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_912260-MLU70862132354_082023-E.webp,,,,,"Con tu pulidora Bosch podrás pulir salientes o bordes, así como soltar remaches, redondear ángulos, cortar metales, etc. Una herramienta clave para las terminaciones de tus proyectos."
Pulidora 4 1/2 Industrial Total UTG10711556 750w Super Select,174.770,,,,Por Ferretería Luis Penagos,https://www.mercadolibre.com.co/pulidora-4-12-industrial-total-utg10711556-750w-super-select/p/MCO27308945#polycard_client=search-nordic&search_layout=grid&position=7&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO1510660839&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_652663-MLA84537985542_052025-E.webp,,,,,"PRODUCTO:Nombre: PULIDORA 4 1/2"" INDUSTRIAL TOTAL 750W 120V SUPER SELECTMarca: TotalDESCRIPCIÓN:PULIDORA 4 1/2"" INDUSTRIAL TOTAL 750W 120V SUPER SELECT (UTG10711556)CARACTERISTICAS:•Voltaje: 110-120V~/60Hz•Potencia: 750W•Velocidad sin carga: 12.000 /min•Diámetro de disco: 4-1/2”CARACTERÍSTICAS PRINCIPALES:MÁS DETALLES:Peso del paquete: 1 kgMedidas: 29 cm x 28 cm x 38 cm cmModelo: UTG10711556EAN: 6941639819677GTIN: 6941639819677SKU: 14732"
Pulidora Industrial 4-1/2 PuLG Dewalt Dwe4212-b3,663.708,,,,,https://www.mercadolibre.com.co/pulidora-industrial-4-12-pulg-dewalt-dwe4212-b3/p/MCO21754444#polycard_client=search-nordic&search_layout=grid&position=8&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO1329193957&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_853581-MCO41600415054_042020-E.webp,,,,,"Pulidora Dewalt DWE4212 de 4 1/2"" (115mm) a 5"" (125mm) equipada con un motor de 1200W y 11000 RPM para una mayor velocidad de corte o desbaste bajo cargas pesadas de trabajo. Incorpora un sistema de expulsión de polvo que protege al motor de la abrasión, prolongando la vida útil de la herramienta. Diseñada con un cuerpo delgado, mango robusto de 2 posiciones y un interruptor tipo paleta para mayor seguridad y comodidad durante su uso.Características destacadas:- Motor de 1200W - 11000 rpm para un rendimiento superior bajo cargas de trabajo intensas.- Interruptor tipo paleta para mayor control y seguridad.- Sistema de expulsión de polvo que protege el motor y extiende la durabilidad de la herramienta.Detalles adicionales:- Mango de 2 posiciones que ofrece versatilidad y control.- Guarda de seguridad de ajuste rápido 360°.- Diseño ergonómico con una circunferencia compacta de 194mm.Contenido del paquete:- Pulidora Dewalt de 4-1/2"" (115mm)-5"" (125mm)- Llave de Ajuste- Empuñadura Lateral- GuardaEspecificaciones técnicas:- Diámetro: 115 mm / 4 1/2 in- Velocidad sin carga: 11000 RPM- Fuente de alimentación: Alámbrico- Potencia: 1200 W- Peso del producto: 4.6 lbs- Embalaje: Cartón"
Pulidora De 4 ½ 820 W G720 Black Decker,183.500,,,,Por Belltec,https://articulo.mercadolibre.com.co/MCO-508802939-pulidora-de-4-820-w-g720-black-decker-_JM?searchVariation=174495410583#polycard_client=search-nordic&searchVariation=174495410583&search_layout=grid&position=9&type=item&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce,https://http2.mlstatic.com/D_Q_NP_2X_683032-MCO88863857308_082025-E.webp,,,,,"PRODUCTO:Nombre: Pulidora De 4 12 820 W G720 Black + DeckerMarca: Black+deckerDescripción:Pulidora De 4 12 820 W G720 Black + DeckerCaracterísticas- Potente motor de 820W- Traba de eje- Empuñadura lateral de 3 posiciones- Interruptor de sellado contra polvo con bloqueo para uso continuo- Guarda adjustable sin llave- Caja de engranajes metálicaIncluyeEsmeriladora, empuñadura lateral, llave, en caja cartonEspecificaciones- Potencia: 820W- Velocidad: 11000/min (rpm)- Eje. 5/8 11/M14- Cable: 2 metrosCaracterísticas principales:--Potencia: 820W--Velocidad: 11000/min (rpm)--Eje: 5/8'' 11/M14--Cable: 2 metros-- Guarda adjustable sin llave-- Caja de engranajes metálicaMORE DETAILS:Peso del paquete: 1.0 kgMaterial: Poliamida, Metal y ElastómeroModelo: G720Condición: newColor: naranjaNombre del color: naranjaColor secundario: negroEAN: 028877362755ASIN: B08C1XYR9RBaterías incluidas: falseRequiere baterías: falseLargo del cable: 2SKU: G720GRACIAS POR VISITAR SU TIENDA OFICIAL BELLTEC!!!"
Pulidora 4 1/2 Profesional 900w Stanley (stgs9115-b3),315.000,,,,Por Almacenes HJ,https://www.mercadolibre.com.co/pulidora-4-12-profesional-900w-stanley-stgs9115-b3/p/MCO26065047#polycard_client=search-nordic&search_layout=grid&position=10&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO1414066245&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_776679-MLU75006847792_032024-E.webp,,,,,"Con tu pulidora Stanley podrás pulir salientes o bordes, así como soltar remaches, redondear ángulos, cortar metales, etc. Una herramienta clave para las terminaciones de tus proyectos."
Polichadora T Liviano Black & Decker Wp900,275.500,,,,Por Belltec,https://www.mercadolibre.com.co/polichadora-t-liviano-black-decker-wp900/p/MCO22880047#polycard_client=search-nordic&search_layout=grid&position=11&type=product&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO1352617173&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_684602-MLA84542933414_052025-E.webp,,,,,POLICHADORA T LIVIANO BLACK & DECKER WP900CARACTERÍSTICAS- Diseño ergonómico con dos mangos para un manejo cómodo- Capucha aplicadora de espuma para una distribución uniforme de la cera- Capucha pulidora de lana para obtener acabados de alta calidad- Movimiento orbital aleatorio que proporciona un acabado sin marcas de remolinosESPECIFICACIONES TÉCNICAS- Orbitas/min: 4400- Diámetro del disco: 152mm- Longitud del cable: 3m- Potencia: 60wINCLUYE- 1 bonete de espuma- 2 bonetes de lanaCARACTERÍSTICAS DESTACADAS- Diseño de dos mangos para un uso confortable- Capucha aplicadora de espuma para facilitar la aplicación de cera- 4400 órbitas por minuto para un pulido eficiente- Disco de 152mm de diámetro- Cable de 3 metros para mayor alcanceModelo: WP900Color: Naranja con detalles en NegroASIN: B000077CPTGTIN: 028877412825CPU: 028877412825No requiere bateríasSKU: WP900
Mini Pulidora Dewalt Ultradelgada 4-1/2 750w Dwe750-b3,356.900,,,,Por Belltec,https://articulo.mercadolibre.com.co/MCO-1497404265-mini-pulidora-dewalt-ultradelgada-4-12-750w-dwe750-b3-_JM#polycard_client=search-nordic&search_layout=grid&position=12&type=item&tracking_id=64ce5b39-9f12-48d9-99a7-825c139a45ce&wid=MCO1497404265&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_793120-MCO79973691858_102024-E.webp,,,,,"PRODUCTO:Nombre: MINI PULIDORA DEWALT ULTRADELGADA 4-1/2 750W DWE750-B3Marca: DEWALTDESCRIPCIÓN:MINI PULIDORA DEWALT ULTRADELGADA 4-1/2 750W DWE750-B3DESCRIPCIÓNLa Esmeriladora angular DWE4010 de 4 1/2"" (115mm) cuenta con un motor potente y compacto de 750W que ofrece mayor durabilidad y rendimiento. Cuenta con un sistema de ventilación avanzado que proporciona un flujo de aire máximo, evitando el ingreso de polvo, logrando una mayor durabilidad del equipo.CARACTERÍSTICAS- Potente motor de 750W ofrece mayor durabilidad y rendimiento.- Sistema de ventilación avanzado proporciona flujo de aire máximo, prolongando la vida del motor.- Interruptor deslizante de dos movimientos para el manejo y ergonomía mejorada.- Bloqueo del eje para cambios rápidos y fáciles de discos.- Compacta caja de engranajes que permite su uso en espacios reducidos.Incluye(1) Esmeriladora Angular de 4-1/2"" (115mm)(1) Llave de Ajuste(1) Empuñadura Lateral(1) GuardaMÁS DETALLES:Peso del paquete: 2.4 kgModelo: DWE750-B3Condición: NuevoColor: AmarilloNombre de color: AmarilloColor secundario: NegroGTIN: 885911913669CPU: 885911913669SKU: DWE750-B3GRACIAS POR VISITAR SU TIENDA OFICIAL BELLTEC!!!"
